,Channel Title,ZemenExpress,ID,Message,Date,Media Path
36,Zemen Express®,@ZemenExpress,5307,"['Egg', 'Poacher', 'ከ', '1_', '14', 'እንቁላል', 'መቀቀል', 'የሚያስችል', 'በኤሌክትሪክ', 'የሚሰራ', 'ለአጠቃም', 'ቀላል', 'ፈጣን', 'ዋጋ', 'ትንሹ', '1000', 'ብር', 'ትልቁ', '1200', 'ብር', 'ውስን', 'ፍሬ', 'ያለው', 'ቁ', '1', 'መገናኛ', 'መሰረት', 'ደፋር', 'ሞል', 'ሁለተኛ', 'ፎቅ', 'ቢሮ', 'ቁ', 'S05', 'S06', 'ቁ', '2', 'ፒያሳ', 'ጊዮርጊስ', 'አደባባይ', 'ራመት_ታቦር_ኦዳ_ህንፃ', '1ኛ', 'ፎቅ', 'ሱቅ', 'ቁ', 'G', 'ፒያሳ', 'ቅርንጫፍ']",2024-09-23 13:00:10+00:00,photos\@ZemenExpress_5307.jpg
37,Zemen Express®,@ZemenExpress,5306,"['Straight', 'Comb', 'Hair', 'stylist', 'ምንም', 'አይነት', 'ድምፅ', 'የሌለው', 'ሁሉንም', 'አይነት', 'ጸጉር', 'ያለ', 'ልፋት', 'በሙቀት', 'የሚያስውብ', 'ለተለያዩ', 'የጸጉር', 'አይነቶች', 'ከፍ', 'ዝቅ', 'የሚል', 'የሙቀት', 'መቆጣጠሪያ', 'ያለው', 'ጸጉር', 'ሳይሰባበር', 'በጤናማ', 'ሁኔታ', 'ውብ', 'የሚያደርግልዎ', 'ዋጋ', '1200ብር', 'ውስን', 'ፍሬ', 'ያለው', 'ቁ', '1', 'መገናኛ', 'መሰረት', 'ደፋር', 'ሞል', 'ሁለተኛ', 'ፎቅ', 'ቢሮ', 'ቁ', 'S05', 'S06', 'ቁ', '2', 'ፒያሳ', 'ጊዮርጊስ', 'አደባባይ', 'ራመት_ታቦር_ኦዳ_ህንፃ', '1ኛ', 'ፎቅ', 'ሱቅ', 'ቁ', 'G', 'ፒያሳ', 'ቅርንጫፍ']",2024-09-23 06:04:10+00:00,photos\@ZemenExpress_5306.jpg
40,Zemen Express®,@ZemenExpress,5303,"['LCD', 'Writing', 'Tablet', 'ለልጅዎ', 'Lcd', 'writing', 'tablet', '8', '5inch', 'ልጆች', 'እየተዝናኑ', 'የሚማሩበት', 'LCD', 'WRITING', 'TAB', 'ለፅሁፍ', 'ለስዕል', 'መለማመጃ', 'የሚሆን', 'የወረቀት', 'እርሳስ', 'ወጪን', 'የሚቆጥብ', 'ብናኝ', 'ወይም', 'አይን', 'የሚወጋ', 'ብርሀን', 'ስለሌለው', 'በምቾት', 'በደህንነት', 'ለረጅም', 'ሰአት', 'የሚጠቀሙበት', 'ለቢሮ', 'ለምግብ', 'ቤት', 'ለተለያዬ', 'አገልግሎቶች', 'መጠቀም', 'ይችላሉ', 'ምስሉ', 'የፈለጉትን', 'ያህል', 'መቆየት', 'የሚችል', 'ሲሆን', 'አንድ', 'ቁልፍ', 'ብቻ', 'በመጫን', 'መቆለፍም', 'ሆነ', 'መሰረዝ', 'ያስችላል', 'ታብሌቱ', 'ቀጭን', 'ስለሆነ', 'በእጅ', 'ቦርሳ', 'ለመያዝ', 'አመቺ', 'ዋጋ', '500', 'ብር', 'ውስን', 'ፍሬ', 'ያለው', 'አድራሻ', 'ቁ', '1', 'መገናኛ', 'መሰረት', 'ደፋር', 'ሞል', 'ሁለተኛ', 'ፎቅ', 'ቢሮ', 'ቁ', 'S05', 'S06', 'ቁ', '2', 'ፒያሳ', 'ጊዮርጊስ', 'አደባባይ', 'ራመት_ታቦር_ኦዳ_ህንፃ', '1ኛ', 'ፎቅ', 'ሱቅ', 'ቁ', 'G', 'ፒያሳ', 'ቅርንጫፍ']",2024-09-22 08:15:17+00:00,photos\@ZemenExpress_5303.jpg
49,Zemen Express®,@ZemenExpress,5294,"['Hair', 'Scalp', 'Massager', 'Silicone', 'Bristles', 'ዋጋ', '250', 'ብር', 'ውስን', 'ፍሬ', 'ያለው', 'አድራሻ', 'ቁ', '1', 'መገናኛ', 'መሰረት', 'ደፋር', 'ሞል', 'ሁለተኛ', 'ፎቅ', 'ቢሮ', 'ቁ', 'S05', 'S06', 'ቁ', '2', 'ፒያሳ', 'ጊዮርጊስ', 'አደባባይ', 'ራመት_ታቦር_ኦዳ_ህንፃ', '1ኛ', 'ፎቅ', 'ሱቅ', 'ቁ', 'G', 'ፒያሳ', 'ቅርንጫፍ']",2024-09-21 10:19:30+00:00,photos\@ZemenExpress_5294.jpg
54,Zemen Express®,@ZemenExpress,5289,"['Silicone', 'Thumb', 'Cutter', 'የጣት', 'ጥፍር', 'መከላከያ', 'ሽንኩርት', 'ሲልጡ', 'ዝንጅብል', 'በርበሬ', 'ዘለላ', 'ሲቀነጥሱ', 'ጥፍርን', 'ከጉዳት', 'የሚከላከል', 'Material', 'Stainless', 'Steel', 'Silicone', 'pp', 'colour', 'ዋጋ', '250', 'ብር', 'ውስን', 'ፍሬ', 'ያለው', 'አድራሻ', 'ቁ', '1', 'መገናኛ', 'መሰረት', 'ደፋር', 'ሞል', 'ሁለተኛ', 'ፎቅ', 'ቢሮ', 'ቁ', 'S05', 'S06', 'ቁ', '2', 'ፒያሳ', 'ጊዮርጊስ', 'አደባባይ', 'ራመት_ታቦር_ኦዳ_ህንፃ', '1ኛ', 'ፎቅ', 'ሱቅ', 'ቁ', 'G', 'ፒያሳ', 'ቅርንጫፍ']",2024-09-21 04:50:08+00:00,photos\@ZemenExpress_5289.jpg
60,Zemen Express®,@ZemenExpress,5283,"['Only', 'Baby', 'Food', 'Feeder', 'Plus', '100', 'Food', 'Grade', 'Silicone', 'BPA', 'Free', 'Latex', 'Free', 'Phthalate', 'Free', 'Non', 'Toxic', 'Freeze', 'Safe', 'Microwave', 'Safe', 'Boil', 'Safe', 'Steam', 'Safe', 'Zero', 'Month', 'and', 'Above', 'ዋጋ', '250', 'ብር', 'ውስን', 'ፍሬ', 'ያለው', 'አድራሻ', 'ቁ', '1', 'መገናኛ', 'መሰረት', 'ደፋር', 'ሞል', 'ሁለተኛ', 'ፎቅ', 'ቢሮ', 'ቁ', 'S05', 'S06', 'ቁ', '2', 'ፒያሳ', 'ጊዮርጊስ', 'አደባባይ', 'ራመት_ታቦር_ኦዳ_ህንፃ', '1ኛ', 'ፎቅ', 'ሱቅ', 'ቁ', 'G', 'ፒያሳ', 'ቅርንጫፍ']",2024-09-20 19:03:13+00:00,photos\@ZemenExpress_5283.jpg
62,Zemen Express®,@ZemenExpress,5281,"['Fla', 'Aroma', 'Diffuser', 'Humidifier', 'High', 'Quality', 'በኤሌክትሪክ', 'የሚሰራ', 'ለቤት', 'መልካም', 'መዓዛን', 'የሚሰጥ', 'Capacity', '200ml', 'Purify', 'the', 'air', 'Beautify', 'the', 'Environnt', 'very', 'effective', 'Usb', 'power', 'interface', 'convenient', 'and', 'quick', 'operation', 'can', 'be', 'used', 'anywhere', 'ዋጋ', '1400', 'ብር', 'ውስን', 'ፍሬ', 'ያለው', 'ቁ', '1', 'መገናኛ', 'መሰረት', 'ደፋር', 'ሞል', 'ሁለተኛ', 'ፎቅ', 'ቢሮ', 'ቁ', 'S05', 'S06', 'ቁ', '2', 'ፒያሳ', 'ጊዮርጊስ', 'አደባባይ', 'ራመት_ታቦር_ኦዳ_ህንፃ', '1ኛ', 'ፎቅ', 'ሱቅ', 'ቁ', 'G', 'ፒያሳ', 'ቅርንጫፍ']",2024-09-20 16:42:09+00:00,photos\@ZemenExpress_5281.jpg
68,Zemen Express®,@ZemenExpress,5275,"['Lint', 'remover', 'Fabric', 'shaver', 'for', 'clothes', 'በቻርጅ', 'የሚሰራ', 'ዋጋ', '900ብር', 'ውስን', 'ፍሬ', 'ያለው', 'አድራሻ', 'ቁ', '1', 'መገናኛ', 'መሰረት', 'ደፋር', 'ሞል', 'ሁለተኛ', 'ፎቅ', 'ቢሮ', 'ቁ', 'S05', 'S06', 'ቁ', '2', 'ፒያሳ', 'ጊዮርጊስ', 'አደባባይ', 'ራመት_ታቦር_ኦዳ_ህንፃ', '1ኛ', 'ፎቅ', 'ሱቅ', 'ቁ', 'G', 'ፒያሳ', 'ቅርንጫፍ']",2024-09-20 07:32:05+00:00,photos\@ZemenExpress_5275.jpg
71,Zemen Express®,@ZemenExpress,5272,"['Rechargeable', 'Electric', 'Foot', 'Callus', 'Remover', 'Kit', 'Professional', 'Pedicure', 'Tool', 'with', 'USB', 'Charging', 'Oil', 'Free', '4', '12V', 'Power', 'Lithium', 'Battery', 'Ideal', 'for', 'Dry', 'Cracked', 'Skin', 'Care', 'ዋጋ', '850', 'ብር', 'ውስን', 'ፍሬ', 'ያለው', 'አድራሻ', 'ቁ', '1', 'መገናኛ', 'መሰረት', 'ደፋር', 'ሞል', 'ሁለተኛ', 'ፎቅ', 'ቢሮ', 'ቁ', 'S05', 'S06', 'ቁ', '2', 'ፒያሳ', 'ጊዮርጊስ', 'አደባባይ', 'ራመት_ታቦር_ኦዳ_ህንፃ', '1ኛ', 'ፎቅ', 'ሱቅ', 'ቁ', 'G', 'ፒያሳ', 'ቅርንጫፍ']",2024-09-20 07:13:57+00:00,photos\@ZemenExpress_5272.jpg
79,Zemen Express®,@ZemenExpress,5264,"['Natural', 'Wood', 'Twist', 'Hexagon', 'Led', 'Desk', 'lamp', 'It', 'is', 'modern', 'design', 'Portable', 'USB', 'Rechargeable', 'Lamp', 'Battery', 'Powered', 'Folding', 'Ambient', 'Night', 'Light', 'Paper', 'Lamp', 'for', 'Bedroom', 'Travel', 'Hotel', 'Restaurant', 'Living', 'Room', 'ለአያያዝ', 'በጣም', 'ቀላል', 'ዋጋ', '1400', 'ብር', 'ውስን', 'ፍሬ', 'ያለው', 'አድራሻ', 'ቁ', '1', 'መገናኛ', 'መሰረት', 'ደፋር', 'ሞል', 'ሁለተኛ', 'ፎቅ', 'ቢሮ', 'ቁ', 'S05', 'S06', 'ቁ', '2', 'ፒያሳ', 'ጊዮርጊስ', 'አደባባይ', 'ራመት_ታቦር_ኦዳ_ህንፃ', '1ኛ', 'ፎቅ', 'ሱቅ', 'ቁ', 'G', 'ፒያሳ', 'ቅርንጫፍ']",2024-09-19 13:01:47+00:00,photos\@ZemenExpress_5264.jpg
86,Zemen Express®,@ZemenExpress,5257,"['tripod', 'stand', 'ሲዘረጋ', '68cm', 'ሲሰበሰብ', '18', '5cm', 'selfie', 'stick', 'with', 'remote', 'compatible', 'withandroid', 'ios', 'Specifications', 'main', 'material', 'stainless', 'steel', 'mount', 'holder', '2', '4', '3', '8inch', 'retracted', 'length', '7inch', '18', '5cm', 'extended', 'length', '68cm', 'ዋጋ', '1200', 'ብር', 'ውስን', 'ፍሬ', 'ያለው', 'አድራሻ', 'ቁ', '1', 'መገናኛ', 'መሰረት', 'ደፋር', 'ሞል', 'ሁለተኛ', 'ፎቅ', 'ቢሮ', 'ቁ', 'S05', 'S06', 'ቁ', '2', 'ፒያሳ', 'ጊዮርጊስ', 'አደባባይ', 'ራመት_ታቦር_ኦዳ_ህንፃ', '1ኛ', 'ፎቅ', 'ሱቅ', 'ቁ', 'G', 'ፒያሳ', 'ቅርንጫፍ']",2024-09-19 09:56:43+00:00,photos\@ZemenExpress_5257.jpg
92,Zemen Express®,@ZemenExpress,5251,"['Coffee', 'Cold', 'Extraction', 'Cup', 'Ice', 'Coffee', 'Maker', 'Portable', 'Cold', 'Brew', 'Bottle', 'Maker', 'Mug', 'Leak', 'Proof', 'Airtight', 'Lid', 'with', 'Mesh', 'Filter', 'Ice', 'Coffee', 'Jar', 'Tea', 'Infuser', 'for', 'Outdoor', 'የአጠቃቀም', 'ዘዴ', '1', 'ለቡና', 'ዱቄት', 'የሚሆን', 'በቂ', 'ቦታ', 'በመተው', 'በውሃ', 'መሙላት', 'ይጀምሩ', '2', 'ውስጥ', 'ባለው', 'ማጣሪያ', 'የሚፈልጉትን', 'የቡና', 'መጠን', 'ይጨምሩ', '3', 'የማጣሪያውን', 'ክዳን', 'አጥብቀው', 'ይዝጉ', 'የቡናውን', 'ቦታ', 'በእኩል', 'መጠን', 'ለማከፋፈል', 'ቀስ', 'ብለው', 'ማወዛወዝ', '4', 'ለተወሰኑ', 'ሰአታት', 'ፍሪጅ', 'ውስጥ', 'ማስቀመጥ', '5', 'ቀዝቃዛ', 'ቡናዎን', 'በበረዶ', 'ወይም', 'ከወተት', 'ጋር', 'በመቀላቀል', 'መጠጣት', 'ይችላሉ', 'ዋጋ', '900', 'ብር', 'ውስን', 'ፍሬ', 'ያለው', 'አድራሻ', 'ቁ', '1', 'መገናኛ', 'መሰረት', 'ደፋር', 'ሞል', 'ሁለተኛ', 'ፎቅ', 'ቢሮ', 'ቁ', 'S05', 'S06', 'ቁ', '2', 'ፒያሳ', 'ጊዮርጊስ', 'አደባባይ', 'ራመት_ታቦር_ኦዳ_ህንፃ', '1ኛ', 'ፎቅ', 'ሱቅ', 'ቁ', 'G', 'ፒያሳ', 'ቅርንጫፍ']",2024-09-18 16:36:40+00:00,photos\@ZemenExpress_5251.jpg
99,Zemen Express®,@ZemenExpress,5244,"['Stainless', 'steel', 'baking', 'bread', 'pan', 'ዋጋ', '450', 'ብር', 'ውስን', 'ፍሬ', 'ያለው', 'አድራሻ', 'ቁ', '1', 'መገናኛ', 'መሰረት', 'ደፋር', 'ሞል', 'ሁለተኛ', 'ፎቅ', 'ቢሮ', 'ቁ', 'S05', 'S06', 'ቁ', '2', 'ፒያሳ', 'ጊዮርጊስ', 'አደባባይ', 'ራመት_ታቦር_ኦዳ_ህንፃ', '1ኛ', 'ፎቅ', 'ሱቅ', 'ቁ', 'G', 'ፒያሳ', 'ቅርንጫፍ']",2024-09-18 13:44:24+00:00,photos\@ZemenExpress_5244.jpg
102,Zemen Express®,@ZemenExpress,5241,"['1', 'pair', 'Silicone', 'Gel', 'Moisturizing', 'Socks', 'Pedicure', 'Socks', 'For', 'Repairing', 'Dry', 'Feet', 'cracked', 'heel', 'and', 'Softening', 'Rough', 'skin', 'heated', 'foot', 'bath', 'ዋጋ', '400', 'ብር', 'ውስን', 'ፍሬ', 'ያለው', 'አድራሻ', 'ቁ', '1', 'መገናኛ', 'መሰረት', 'ደፋር', 'ሞል', 'ሁለተኛ', 'ፎቅ', 'ቢሮ', 'ቁ', 'S05', 'S06', 'ቁ', '2', 'ፒያሳ', 'ጊዮርጊስ', 'አደባባይ', 'ራመት_ታቦር_ኦዳ_ህንፃ', '1ኛ', 'ፎቅ', 'ሱቅ', 'ቁ', 'G', 'ፒያሳ', 'ቅርንጫፍ']",2024-09-18 05:18:33+00:00,photos\@ZemenExpress_5241.jpg
